alpha,c,k,clamp,nmae,tf_bias,tf_early,slope_err,obj
0.75,1,4.0,0.4-1.8,1.0078407047771893,0.16712118118369396,0.4239247121728899,0.18684047631456827,1.2615833561595577
1.0,2,2.0,0.4-1.8,0.9905976836629716,0.18611175520966886,0.45534075595307166,0.22080895290515193,1.2647960004419245
1.0,4,4.0,0.25-2.5,0.9954851591802784,0.18898681582518775,0.47802861401799296,0.2128040981325439,1.2817461701455717
1.0,4,4.0,None-None,0.9962880078147006,0.1878353809119205,0.47916497765435656,0.205463421243443,1.282829341869859
1.0,4,4.0,0.4-1.8,0.9982954593724673,0.20284156898893968,0.4749113496025036,0.22412415310250255,1.286461526420954
0.75,0,4.0,0.25-2.5,1.016178964441844,0.1605982976891715,0.47371662293183014,0.1840653736747373,1.2931868503300519
0.75,0,4.0,None-None,1.0173705073632635,0.15867105591586605,0.47371662293183014,0.16943477015356267,1.293896582808145
1.0,1,2.0,None-None,0.9944480485729741,0.17345244833029905,0.5147714421058416,0.2112908315279384,1.2951968817084698
1.0,1,2.0,0.25-2.5,0.994459209138434,0.1789545039951481,0.513635078469478,0.21857564406189295,1.29601537437196
0.75,0,4.0,0.4-1.8,1.0186546004282417,0.17430311483793745,0.4735771512303076,0.19812784564111896,1.2990189547528799
1.0,1,2.0,0.4-1.8,0.9989167256322135,0.19690654932633667,0.5114098834451725,0.23021676943939476,1.3038483046863838
1.0,0,1.0,None-None,0.9939510986918307,0.1580952498100377,0.5568468777081601,0.23253208860205668,1.3118983499984203
1.0,0,1.0,0.25-2.5,0.9952661088181833,0.17003851144311974,0.5549529383142207,0.23891274686639347,1.3152522058360736
1.0,0,1.0,0.4-1.8,1.0015654886493344,0.1916094371063326,0.5580197116543391,0.24953152151086588,1.3284777037530873
1.0,2,4.0,0.25-2.5,1.008410862499379,0.20998640713951303,0.5606174337398028,0.2330673035953901,1.3412161811541587
1.0,2,4.0,None-None,1.0091118163906316,0.20933242919566084,0.5606174337398028,0.22734461698829192,1.3417536405594483
1.0,2,4.0,0.4-1.8,1.0103723162340799,0.2206154171172692,0.5574667882943924,0.24038050245569068,1.3442595646605935
1.0,0,2.0,None-None,1.0108011711917302,0.1947871714430965,0.6380632738952677,0.24946606973468824,1.3785296010001382
1.0,0,2.0,0.25-2.5,1.0107573003315355,0.19938686766926603,0.6380632738952677,0.25500175826924304,1.3796356541964858
1.0,0,2.0,0.4-1.8,1.0146524314965695,0.2156224841888104,0.6346265383119671,0.26137938841188,1.3858713216997558
1.0,1,4.0,0.25-2.5,1.0181536447621784,0.2245815555281817,0.6247643189956879,0.24997513010819716,1.3866811931420677
1.0,1,4.0,None-None,1.018809128802364,0.22415786875028318,0.6247643189956879,0.2454715124586466,1.3872307554877787
1.0,1,4.0,0.4-1.8,1.019771900815827,0.23377413956516177,0.6227783051943857,0.255427404507148,1.3896045883043102
1.0,0,4.0,0.25-2.5,1.0319568113306277,0.24752707522572176,0.7154979352850179,0.27620295720014076,1.451587547779567
1.0,0,4.0,None-None,1.0325627461705678,0.24727901297446203,0.7154979352850179,0.27296551731558333,1.4521314670566923
1.0,0,4.0,0.4-1.8,1.033259845330213,0.255961379623159,0.7147403595274421,0.2799889240744986,1.4546203699997238
