stat,mkt,p_glm,p_fan
receiving_yards,0.46499999999999997,0.7138678100701621,0.6003968250223953
receptions,0.485,0.47,0.5412249717429004
receiving_yards,0.51,0.7249789437067363,0.5489156503616242
receptions,0.44999999999999996,0.443,0.44302136714448276
receiving_yards,0.485,0.3407953911192093,0.47233001110741424
receptions,0.535,0.39,0.4832333896279672
receiving_yards,0.595,0.8178832466216479,0.46803257672871523
receptions,0.575,0.727,0.4145148847973105
receiving_yards,0.5349999999999999,0.5741871265977605,0.5868055230815431
receptions,0.485,0.205,0.46280314426522107
receiving_yards,0.355,0.69363279864738,0.5308331167215988
receptions,0.435,0.767,0.500747387187661
receiving_yards,0.475,0.5162495193197097,0.6361009556119093
receptions,0.5549999999999999,0.732,0.5916205796813836
receiving_yards,0.51,0.6104396812360408,0.5690303449125259
receptions,0.53,0.401,0.5485305590225555
receiving_yards,0.415,0.6067469778555539,0.5837724382500006
receptions,0.565,0.907,0.595931284801586
receiving_yards,0.505,0.4669876797716008,0.5402936006857473
receptions,0.525,0.365,0.5077905824264047
receiving_yards,0.5,0.24312768584306332,0.4234957322114171
receptions,0.535,0.326,0.47081675696508657
receiving_yards,0.47,0.45675000871065397,0.5350701634095358
receptions,0.525,0.409,0.5445589350079987
receiving_yards,0.54,0.3357381998527347,0.5859639356719223
receptions,0.505,0.341,0.447908746617206
receiving_yards,0.46499999999999997,0.4464404062630777,0.4757741207386109
receptions,0.585,0.402,0.5390818428071357
receiving_yards,0.525,0.5318517964458805,0.5912551955806847
receptions,0.45499999999999996,0.384,0.5085190365026422
receiving_yards,0.485,0.11604099765914389,0.47355269432240127
receptions,0.46499999999999997,0.145,0.4977661282992202
receiving_yards,0.4,0.47110179712619493,0.5582441959971054
receptions,0.41000000000000003,0.416,0.4908966134762647
receiving_yards,0.435,0.23476239414673117,0.2891899817050264
receptions,0.425,0.207,0.3864556001709703
receiving_yards,0.52,0.6294870261821539,0.6631619529694137
receptions,0.56,0.37,0.5786132161211048
receiving_yards,0.515,0.6548335845745101,0.665074185074181
receptions,0.5800000000000001,0.741,0.6126823574940478
receiving_yards,0.51,0.3829468970424531,0.27839938200144354
receptions,0.605,0.383,0.4179128778838336
receiving_yards,0.515,0.3445954061261082,0.48882082630919216
receptions,0.595,0.354,0.5129967767312803
receiving_yards,0.495,0.1687766001121399,0.40512246864641854
receptions,0.44,0.097,0.34060061163500754
receiving_yards,0.48,0.3645355569309221,0.4771956194215966
receptions,0.475,0.336,0.47146062365867103
receiving_yards,0.47,0.4969784485959179,0.5619708903250629
receptions,0.51,0.556,0.4869785563158874
receiving_yards,0.575,0.6494895750772706,0.6297621958141381
receptions,0.46499999999999997,0.323,0.4904591909894218
receiving_yards,0.485,0.590691252527185,0.5760125605676001
receptions,0.565,0.388,0.5488303229567426
receiving_yards,0.475,0.7057437014997627,0.6592629911214933
receptions,0.33999999999999997,0.724,0.5373684784425358
receiving_yards,0.485,0.6213215984760971,0.45507233739152614
receptions,0.59,0.866,0.48478496399896065
receiving_yards,0.42,0.5737161743226751,0.5188548393106381
receptions,0.42000000000000004,0.607,0.5004230838243969
receiving_yards,0.4,0.26465479150714577,0.4080660305554022
receptions,0.46499999999999997,0.226,0.42318937984747784
receiving_yards,0.505,0.40064446181676483,0.39364337203600236
receptions,0.55,0.44,0.3590269319769003
receiving_yards,0.515,0.4217908426868243,0.5756354549157974
receiving_yards,0.455,0.6484490293173655,0.5924430217248918
