model,stat,rule,n,mae,bias,slope,corr,q5_bias
qb,passing_yards,D:blend a=0.75,692,71.60836548314633,13.248703844247842,0.8476024415471692,0.5158571832919755,42.269789234408336
qb,rushing_tds,current(prod),692,0.25926501306824773,-0.01370486831731979,1.5392242899733208,0.2252416134256622,-0.11122326307946792
qb,rushing_tds,raw_glm,692,0.2521903874917019,-0.012901990930753532,0.9780717609679964,0.2549096121312507,-0.06068441159225635
qb,rushing_tds,trailing_only,692,0.3254318303184875,0.09633582989816344,0.4170861005919878,0.21841323071282123,0.3296130952380951
qb,rushing_tds,A:shrink->trailing,692,0.2809872562271488,0.03009051319814668,0.6711268852805533,0.23795375481012973,0.09331077220788675
qb,rushing_tds,B:coldstart_style,692,0.2652704344370956,0.00665547976260375,0.8709093204152156,0.2542663361661437,-0.01958859703070709
qb,rushing_tds,D:blend a=0.25,692,0.30662148052872673,0.06902637469093417,0.5183633171735752,0.23038103911658672,0.19697264968758
qb,rushing_tds,D:blend a=0.50,692,0.2884498372287942,0.041716919483704956,0.657126750510489,0.24373730781077185,0.10893384332817291
qb,rushing_tds,D:blend a=0.75,692,0.27032011236024805,0.014407464276475684,0.8309328488777425,0.2552690077755884,0.0157169991187342
qb,rushing_yards,current(prod),692,12.769619671744762,-0.5685856175180355,1.1149160326325471,0.3836462301142161,-2.8664695440456995
qb,rushing_yards,raw_glm,692,11.952671441758323,-0.5424757073154236,0.8023955356331215,0.4427172018274826,2.398706889249592
qb,rushing_yards,trailing_only,692,12.259837450194116,1.252391947617408,0.6633965696371105,0.462924249035753,8.259191176470583
qb,rushing_yards,A:shrink->trailing,692,11.932022595775823,0.20966379694670856,0.7796935632306883,0.45812834461729124,3.4764265384276456
qb,rushing_yards,B:coldstart_style,692,11.748606707191524,-0.8019630263696609,0.7850377407521839,0.46427859049644804,3.255609966156463
qb,rushing_yards,D:blend a=0.25,692,12.015880207457737,0.8036750338841987,0.7250172056227376,0.4689644479219597,6.037426730686622
qb,rushing_yards,D:blend a=0.50,692,11.89134207345642,0.35495812015099126,0.7768589165404834,0.4694207580903559,5.226034120319863
qb,rushing_yards,D:blend a=0.75,692,11.879462180392496,-0.09375879358221617,0.80688133588623,0.46150078697732405,3.8141212069560133
rb,carries,current(prod),1650,4.1321267289055585,0.44959006286951464,1.1896554471232612,0.6862448264543607,-0.717873593025109
rb,carries,raw_glm,1650,3.66439761698265,0.2657495628677884,0.8585399940031901,0.71745553050634,2.0222978020978655
rb,carries,trailing_only,1650,3.744625576149848,0.5307975482985183,0.8592723033449187,0.7082636645308169,1.6190851735015777
rb,carries,A:shrink->trailing,1650,3.674566896132389,0.40456486537997893,0.8978257559301509,0.7218870704849948,1.6935460087618353
rb,carries,B:coldstart_style,1650,3.5670786433310457,0.17485297079980988,0.8611810348082714,0.726942989923083,1.8664539264765505
rb,carries,D:blend a=0.25,1650,3.6644552716649907,0.46453555194083584,0.8871430870834833,0.7220831268840379,1.6454002510150652
rb,carries,D:blend a=0.50,1650,3.626788320666382,0.39827355558315425,0.896443711319578,0.7282876014503448,1.6981444696282466
rb,carries,D:blend a=0.75,1650,3.626872999001127,0.33201155922547176,0.8863698060625311,0.726591465459246,1.8452620565167752
rb,receiving_tds,current(prod),1650,0.11546035325933986,-0.0024367287834367105,1.5099251895307335,0.19117868801676066,-0.04623436169496917
rb,receiving_tds,raw_glm,1650,0.11049756841131393,-0.006142977438559835,1.2346527912958536,0.21228974299624814,-0.04511155586405806
rb,receiving_tds,trailing_only,1650,0.15636104736687262,0.049125076002745904,0.33202183016935694,0.1447335170074282,0.049125076002745904
rb,receiving_tds,A:shrink->trailing,1650,0.1259759807063287,0.011273223632965332,0.7304778557276922,0.16221780016730242,-0.014712839283617524
rb,receiving_tds,B:coldstart_style,1650,0.1197239247112229,0.005145655118789394,0.9795748202259442,0.20420284964707874,-0.03309331431416601
rb,receiving_tds,D:blend a=0.25,1650,0.14489517762798293,0.035308062642419494,0.4558048169106631,0.1603979657815557,0.10501932477626477
rb,receiving_tds,D:blend a=0.50,1650,0.13342930788909327,0.021491049282093055,0.6637062837558263,0.18179756441909886,0.05542827395186278
rb,receiving_tds,D:blend a=0.75,1650,0.1219634381502036,0.007674035921766603,0.9895480617238006,0.20663540314238552,-0.02341592182694685
rb,receiving_yards,current(prod),1650,11.184364172829637,2.0275644376029067,0.9036154572170009,0.43430205891380225,-0.12927805858340236
rb,receiving_yards,raw_glm,1650,10.429831734509719,1.4216539956056007,0.7106344860565176,0.46997964132493475,3.537211185821736
